id;date;description;amount
1;2019-09-13T01:47:27;National Awesome sky blue;4522
2;2019-09-12T17:04:21;navigating;74732
3;2019-09-13T09:37:41;generating compelling;28093
4;2019-09-13T01:34:18;bifurcated scalable;16526
5;2019-09-13T14:21:04;Administrator;77224
6;2019-09-13T06:39:48;24 hour;1407
7;2019-09-12T20:34:10;monitor;72900
8;2019-09-12T21:10:35;Checking Account Identity deposit;91495
9;2019-09-12T19:25:34;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-09-13T00:09:30;New York tangible Mississippi;38292
